repeat,X_hat,X,eval_set,centroid,nn
0,10,7,famous_le_100m,0.5,0.5
0,10,8,famous_le_10m,1.0,1.0
0,10,8,famous_le_100m,0.96875,0.96875
0,10,9,famous_le_10m,0.8,0.8
0,10,9,famous_le_100m,0.46875,0.46875
0,10,10,famous_le_10m,1.0,1.0
0,10,10,famous_le_100m,0.96875,0.96875
0,10,11,famous_le_10m,0.7,0.7
0,10,11,famous_le_100m,0.46875,0.46875
0,10,12,famous_le_10m,1.0,1.0
0,10,12,famous_le_100m,0.96875,0.96875
0,10,13,famous_le_10m,0.7,0.7
0,10,13,famous_le_100m,0.46875,0.46875
0,10,14,famous_le_10m,1.0,1.0
0,10,14,famous_le_100m,0.96875,0.96875
0,10,15,famous_le_10m,0.7,0.7
0,10,15,famous_le_100m,0.46875,0.46875
0,10,16,famous_le_10m,1.0,1.0
0,10,16,famous_le_100m,0.96875,0.96875
0,10,17,famous_le_10m,0.7,0.7
0,10,17,famous_le_100m,0.46875,0.46875
0,10,18,famous_le_10m,1.0,1.0
0,10,18,famous_le_100m,0.96875,0.96875
0,10,19,famous_le_10m,0.7,0.6
0,10,19,famous_le_100m,0.46875,0.46875
0,10,20,famous_le_10m,1.0,1.0
0,10,20,famous_le_100m,0.96875,0.96875
0,10,21,famous_le_10m,0.6,0.6
0,10,21,famous_le_100m,0.46875,0.46875
0,10,22,famous_le_10m,1.0,1.0
0,10,22,famous_le_100m,0.96875,0.96875
0,10,23,famous_le_10m,0.7,0.7
0,10,23,famous_le_100m,0.46875,0.46875
0,11,1,famous_le_10m,0.5,0.4
0,11,1,famous_le_100m,0.5,0.46875
0,11,2,famous_le_10m,0.5,0.3
0,11,2,famous_le_100m,0.46875,0.4375
0,11,3,famous_le_10m,0.5,0.3
0,11,3,famous_le_100m,0.46875,0.40625
0,11,4,famous_le_10m,0.7,0.5
0,11,4,famous_le_100m,0.53125,0.5
0,11,5,famous_le_10m,0.5,0.3
0,11,5,famous_le_100m,0.4375,0.40625
0,11,6,famous_le_10m,1.0,0.8
0,11,6,famous_le_100m,0.90625,0.875
0,11,7,famous_le_10m,1.0,0.8
0,11,7,famous_le_100m,0.90625,0.875
0,11,8,famous_le_10m,1.0,0.8
0,11,8,famous_le_100m,0.90625,0.875
0,11,9,famous_le_10m,1.0,0.8
0,11,9,famous_le_100m,0.90625,0.875
0,11,10,famous_le_10m,1.0,0.8
0,11,10,famous_le_100m,0.90625,0.875
0,11,11,famous_le_10m,1.0,0.8
0,11,11,famous_le_100m,0.90625,0.875
0,11,12,famous_le_10m,1.0,0.8
0,11,12,famous_le_100m,0.90625,0.875
0,11,13,famous_le_10m,1.0,0.8
0,11,13,famous_le_100m,0.90625,0.875
0,11,14,famous_le_10m,1.0,0.8
0,11,14,famous_le_100m,0.90625,0.875
0,11,15,famous_le_10m,1.0,0.8
0,11,15,famous_le_100m,0.90625,0.875
0,11,16,famous_le_10m,1.0,0.8
0,11,16,famous_le_100m,0.90625,0.875
0,11,17,famous_le_10m,1.0,0.8
0,11,17,famous_le_100m,0.90625,0.875
0,11,18,famous_le_10m,1.0,0.8
0,11,18,famous_le_100m,0.90625,0.875
0,11,19,famous_le_10m,1.0,0.8
0,11,19,famous_le_100m,0.90625,0.875
0,11,20,famous_le_10m,1.0,0.8
0,11,20,famous_le_100m,0.90625,0.875
0,11,21,famous_le_10m,1.0,0.8
0,11,21,famous_le_100m,0.90625,0.875
0,11,22,famous_le_10m,1.0,0.8
0,11,22,famous_le_100m,0.90625,0.875
0,11,23,famous_le_10m,1.0,0.8
0,11,23,famous_le_100m,0.90625,0.875
0,12,1,famous_le_10m,0.5,0.5
0,12,1,famous_le_100m,0.5,0.5
0,12,2,famous_le_10m,0.5,0.5
0,12,2,famous_le_100m,0.5,0.5
0,12,3,famous_le_10m,0.5,0.5
0,12,3,famous_le_100m,0.5,0.5
0,12,4,famous_le_10m,0.5,0.5
0,12,4,famous_le_100m,0.5,0.5
0,12,5,famous_le_10m,0.5,0.5
0,12,5,famous_le_100m,0.5,0.5
0,12,6,famous_le_10m,0.5,0.5
0,12,6,famous_le_100m,0.5,0.5
0,12,7,famous_le_10m,0.5,0.5
0,12,7,famous_le_100m,0.46875,0.46875
0,12,8,famous_le_10m,1.0,1.0
0,12,8,famous_le_100m,0.96875,0.96875
0,12,9,famous_le_10m,0.5,0.5
0,12,9,famous_le_100m,0.46875,0.46875
0,12,10,famous_le_10m,1.0,1.0
0,12,10,famous_le_100m,0.96875,0.96875
0,12,11,famous_le_10m,0.5,0.5
0,12,11,famous_le_100m,0.46875,0.46875
0,12,12,famous_le_10m,1.0,1.0
0,12,12,famous_le_100m,0.96875,0.96875
0,12,13,famous_le_10m,0.5,0.5
0,12,13,famous_le_100m,0.46875,0.46875
0,12,14,famous_le_10m,1.0,1.0
0,12,14,famous_le_100m,0.96875,0.96875
0,12,15,famous_le_10m,0.5,0.5
0,12,15,famous_le_100m,0.46875,0.46875
0,12,16,famous_le_10m,1.0,1.0
0,12,16,famous_le_100m,0.96875,0.96875
0,12,17,famous_le_10m,0.5,0.5
0,12,17,famous_le_100m,0.46875,0.46875
0,12,18,famous_le_10m,1.0,1.0
0,12,18,famous_le_100m,0.96875,0.96875
0,12,19,famous_le_10m,0.5,0.5
0,12,19,famous_le_100m,0.46875,0.46875
0,12,20,famous_le_10m,1.0,1.0
0,12,20,famous_le_100m,0.96875,0.96875
0,12,21,famous_le_10m,0.5,0.5
0,12,21,famous_le_100m,0.46875,0.46875
0,12,22,famous_le_10m,1.0,1.0
0,12,22,famous_le_100m,0.96875,0.96875
0,12,23,famous_le_10m,0.5,0.5
0,12,23,famous_le_100m,0.46875,0.46875
0,13,1,famous_le_10m,0.5,0.5
0,13,1,famous_le_100m,0.5,0.5
0,13,2,famous_le_10m,0.5,0.5
0,13,2,famous_le_100m,0.5,0.5
0,13,3,famous_le_10m,0.5,0.5
0,13,3,famous_le_100m,0.5,0.5
0,13,4,famous_le_10m,0.5,0.5
0,13,4,famous_le_100m,0.5,0.5
0,13,5,famous_le_10m,0.5,0.5
0,13,5,famous_le_100m,0.5,0.5
0,13,6,famous_le_10m,0.7,0.8
0,13,6,famous_le_100m,0.53125,0.59375
0,13,7,famous_le_10m,0.7,1.0
0,13,7,famous_le_100m,0.5,0.53125
0,13,8,famous_le_10m,1.0,1.0
0,13,8,famous_le_100m,0.96875,0.96875
0,13,9,famous_le_10m,1.0,1.0
0,13,9,famous_le_100m,0.96875,0.96875
0,13,10,famous_le_10m,1.0,1.0
0,13,10,famous_le_100m,0.96875,0.96875
0,13,11,famous_le_10m,1.0,1.0
0,13,11,famous_le_100m,0.96875,0.96875
0,13,12,famous_le_10m,1.0,1.0
0,13,12,famous_le_100m,0.96875,0.96875
0,13,13,famous_le_10m,1.0,1.0
0,13,13,famous_le_100m,0.96875,0.96875
0,13,14,famous_le_10m,1.0,1.0
0,13,14,famous_le_100m,0.96875,0.96875
0,13,15,famous_le_10m,1.0,1.0
0,13,15,famous_le_100m,0.96875,0.96875
0,13,16,famous_le_10m,1.0,1.0
0,13,16,famous_le_100m,0.96875,0.96875
0,13,17,famous_le_10m,1.0,1.0
0,13,17,famous_le_100m,0.96875,0.96875
0,13,18,famous_le_10m,1.0,1.0
0,13,18,famous_le_100m,0.96875,0.96875
0,13,19,famous_le_10m,1.0,1.0
0,13,19,famous_le_100m,0.96875,0.96875
0,13,20,famous_le_10m,1.0,1.0
0,13,20,famous_le_100m,0.96875,0.96875
