repeat,baseline,X,accuracy,fold
22,KNeighborsClassifier,11,0.108695652173913,22
23,KNeighborsClassifier,11,0.0869565217391304,23
24,KNeighborsClassifier,11,0.0652173913043478,24
0,KNeighborsClassifier,12,0.0851063829787234,0
1,KNeighborsClassifier,12,0.0638297872340425,1
2,KNeighborsClassifier,12,0.0652173913043478,2
3,KNeighborsClassifier,12,0.0652173913043478,3
4,KNeighborsClassifier,12,0.0434782608695652,4
5,KNeighborsClassifier,12,0.1489361702127659,5
6,KNeighborsClassifier,12,0.1702127659574468,6
7,KNeighborsClassifier,12,0.1521739130434782,7
8,KNeighborsClassifier,12,0.1304347826086956,8
9,KNeighborsClassifier,12,0.1304347826086956,9
10,KNeighborsClassifier,12,0.1702127659574468,10
11,KNeighborsClassifier,12,0.0638297872340425,11
12,KNeighborsClassifier,12,0.0434782608695652,12
13,KNeighborsClassifier,12,0.0869565217391304,13
14,KNeighborsClassifier,12,0.0217391304347826,14
15,KNeighborsClassifier,12,0.1489361702127659,15
16,KNeighborsClassifier,12,0.0851063829787234,16
17,KNeighborsClassifier,12,0.108695652173913,17
18,KNeighborsClassifier,12,0.1739130434782608,18
19,KNeighborsClassifier,12,0.1521739130434782,19
20,KNeighborsClassifier,12,0.1063829787234042,20
21,KNeighborsClassifier,12,0.1063829787234042,21
22,KNeighborsClassifier,12,0.1304347826086956,22
23,KNeighborsClassifier,12,0.0869565217391304,23
24,KNeighborsClassifier,12,0.0652173913043478,24
0,KNeighborsClassifier,13,0.0851063829787234,0
1,KNeighborsClassifier,13,0.0851063829787234,1
2,KNeighborsClassifier,13,0.0217391304347826,2
3,KNeighborsClassifier,13,0.0869565217391304,3
4,KNeighborsClassifier,13,0.0652173913043478,4
5,KNeighborsClassifier,13,0.1702127659574468,5
6,KNeighborsClassifier,13,0.1489361702127659,6
7,KNeighborsClassifier,13,0.1304347826086956,7
8,KNeighborsClassifier,13,0.0869565217391304,8
9,KNeighborsClassifier,13,0.108695652173913,9
10,KNeighborsClassifier,13,0.1489361702127659,10
11,KNeighborsClassifier,13,0.0638297872340425,11
12,KNeighborsClassifier,13,0.0434782608695652,12
13,KNeighborsClassifier,13,0.1521739130434782,13
14,KNeighborsClassifier,13,0.0217391304347826,14
15,KNeighborsClassifier,13,0.1914893617021276,15
16,KNeighborsClassifier,13,0.0851063829787234,16
17,KNeighborsClassifier,13,0.1521739130434782,17
18,KNeighborsClassifier,13,0.1739130434782608,18
19,KNeighborsClassifier,13,0.1304347826086956,19
20,KNeighborsClassifier,13,0.1276595744680851,20
21,KNeighborsClassifier,13,0.1276595744680851,21
22,KNeighborsClassifier,13,0.1521739130434782,22
23,KNeighborsClassifier,13,0.108695652173913,23
24,KNeighborsClassifier,13,0.0869565217391304,24
0,KNeighborsClassifier,14,0.1063829787234042,0
1,KNeighborsClassifier,14,0.0851063829787234,1
2,KNeighborsClassifier,14,0.0869565217391304,2
3,KNeighborsClassifier,14,0.108695652173913,3
4,KNeighborsClassifier,14,0.0217391304347826,4
5,KNeighborsClassifier,14,0.1063829787234042,5
6,KNeighborsClassifier,14,0.1914893617021276,6
7,KNeighborsClassifier,14,0.1739130434782608,7
8,KNeighborsClassifier,14,0.108695652173913,8
9,KNeighborsClassifier,14,0.108695652173913,9
10,KNeighborsClassifier,14,0.2127659574468085,10
11,KNeighborsClassifier,14,0.0425531914893617,11
12,KNeighborsClassifier,14,0.0217391304347826,12
13,KNeighborsClassifier,14,0.1521739130434782,13
14,KNeighborsClassifier,14,0.0217391304347826,14
15,KNeighborsClassifier,14,0.1276595744680851,15
16,KNeighborsClassifier,14,0.1063829787234042,16
17,KNeighborsClassifier,14,0.108695652173913,17
18,KNeighborsClassifier,14,0.217391304347826,18
19,KNeighborsClassifier,14,0.1956521739130435,19
20,KNeighborsClassifier,14,0.0638297872340425,20
21,KNeighborsClassifier,14,0.1489361702127659,21
22,KNeighborsClassifier,14,0.108695652173913,22
23,KNeighborsClassifier,14,0.1956521739130435,23
24,KNeighborsClassifier,14,0.0434782608695652,24
0,KNeighborsClassifier,15,0.1063829787234042,0
1,KNeighborsClassifier,15,0.1276595744680851,1
2,KNeighborsClassifier,15,0.0869565217391304,2
3,KNeighborsClassifier,15,0.108695652173913,3
4,KNeighborsClassifier,15,0.0652173913043478,4
5,KNeighborsClassifier,15,0.0638297872340425,5
6,KNeighborsClassifier,15,0.1489361702127659,6
7,KNeighborsClassifier,15,0.108695652173913,7
8,KNeighborsClassifier,15,0.108695652173913,8
9,KNeighborsClassifier,15,0.1521739130434782,9
10,KNeighborsClassifier,15,0.1276595744680851,10
11,KNeighborsClassifier,15,0.0638297872340425,11
12,KNeighborsClassifier,15,0.0,12
13,KNeighborsClassifier,15,0.1304347826086956,13
14,KNeighborsClassifier,15,0.0,14
15,KNeighborsClassifier,15,0.0638297872340425,15
16,KNeighborsClassifier,15,0.0851063829787234,16
17,KNeighborsClassifier,15,0.217391304347826,17
18,KNeighborsClassifier,15,0.217391304347826,18
19,KNeighborsClassifier,15,0.0869565217391304,19
