repeat,baseline,X,accuracy,fold
20,XGBClassifier,16,0.8723404255319149,20
21,XGBClassifier,16,0.8723404255319149,21
22,XGBClassifier,16,0.9565217391304348,22
23,XGBClassifier,16,0.9565217391304348,23
24,XGBClassifier,16,0.9347826086956522,24
0,XGBClassifier,17,1.0,0
1,XGBClassifier,17,1.0,1
2,XGBClassifier,17,1.0,2
3,XGBClassifier,17,1.0,3
4,XGBClassifier,17,0.9782608695652174,4
5,XGBClassifier,17,1.0,5
6,XGBClassifier,17,1.0,6
7,XGBClassifier,17,0.9782608695652174,7
8,XGBClassifier,17,1.0,8
9,XGBClassifier,17,1.0,9
10,XGBClassifier,17,1.0,10
11,XGBClassifier,17,1.0,11
12,XGBClassifier,17,0.9782608695652174,12
13,XGBClassifier,17,0.9565217391304348,13
14,XGBClassifier,17,1.0,14
15,XGBClassifier,17,1.0,15
16,XGBClassifier,17,1.0,16
17,XGBClassifier,17,0.9565217391304348,17
18,XGBClassifier,17,0.9782608695652174,18
19,XGBClassifier,17,1.0,19
20,XGBClassifier,17,1.0,20
21,XGBClassifier,17,1.0,21
22,XGBClassifier,17,1.0,22
23,XGBClassifier,17,0.9782608695652174,23
24,XGBClassifier,17,1.0,24
0,XGBClassifier,18,0.9574468085106383,0
1,XGBClassifier,18,1.0,1
2,XGBClassifier,18,1.0,2
3,XGBClassifier,18,1.0,3
4,XGBClassifier,18,1.0,4
5,XGBClassifier,18,1.0,5
6,XGBClassifier,18,1.0,6
7,XGBClassifier,18,1.0,7
8,XGBClassifier,18,0.9782608695652174,8
9,XGBClassifier,18,1.0,9
10,XGBClassifier,18,1.0,10
11,XGBClassifier,18,0.9787234042553192,11
12,XGBClassifier,18,0.9565217391304348,12
13,XGBClassifier,18,1.0,13
14,XGBClassifier,18,1.0,14
15,XGBClassifier,18,1.0,15
16,XGBClassifier,18,1.0,16
17,XGBClassifier,18,1.0,17
18,XGBClassifier,18,0.9782608695652174,18
19,XGBClassifier,18,1.0,19
20,XGBClassifier,18,1.0,20
21,XGBClassifier,18,1.0,21
22,XGBClassifier,18,0.9782608695652174,22
23,XGBClassifier,18,1.0,23
24,XGBClassifier,18,1.0,24
0,XGBClassifier,19,0.9574468085106383,0
1,XGBClassifier,19,1.0,1
2,XGBClassifier,19,0.9782608695652174,2
3,XGBClassifier,19,1.0,3
4,XGBClassifier,19,1.0,4
5,XGBClassifier,19,1.0,5
6,XGBClassifier,19,1.0,6
7,XGBClassifier,19,1.0,7
8,XGBClassifier,19,0.9782608695652174,8
9,XGBClassifier,19,0.9782608695652174,9
10,XGBClassifier,19,1.0,10
11,XGBClassifier,19,0.9787234042553192,11
12,XGBClassifier,19,0.9565217391304348,12
13,XGBClassifier,19,0.9782608695652174,13
14,XGBClassifier,19,1.0,14
15,XGBClassifier,19,1.0,15
16,XGBClassifier,19,1.0,16
17,XGBClassifier,19,0.9565217391304348,17
18,XGBClassifier,19,0.9782608695652174,18
19,XGBClassifier,19,1.0,19
20,XGBClassifier,19,1.0,20
21,XGBClassifier,19,1.0,21
22,XGBClassifier,19,0.9565217391304348,22
