clf,acc,recall,precision,f1,ds_name,split_idx,n_splits,n_repeats,x,mz_name,payload,image_rep,normalize
XGBClassifier,0.27586206896551724,0.13793103448275862,0.5,0.21621621621621623,tiny-imagenet_resnet18_x5,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.29310344827586204,0.14655172413793102,0.5,0.22666666666666666,tiny-imagenet_resnet18_x6,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3017241379310345,0.15086206896551724,0.5,0.23178807947019867,tiny-imagenet_resnet18_x7,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.33620689655172414,0.16810344827586207,0.5,0.25161290322580643,tiny-imagenet_resnet18_x8,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.27586206896551724,0.13793103448275862,0.5,0.21621621621621623,tiny-imagenet_resnet18_x9,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.31896551724137934,0.15948275862068967,0.5,0.24183006535947713,tiny-imagenet_resnet18_x10,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3879310344827586,0.1939655172413793,0.5,0.2795031055900621,tiny-imagenet_resnet18_x11,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.3706896551724138,0.1853448275862069,0.5,0.27044025157232704,tiny-imagenet_resnet18_x12,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.8879310344827587,0.44396551724137934,0.5,0.4703196347031963,tiny-imagenet_resnet18_x13,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.49137931034482757,0.24568965517241378,0.5,0.32947976878612717,tiny-imagenet_resnet18_x14,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5172413793103449,0.25862068965517243,0.5,0.3409090909090909,tiny-imagenet_resnet18_x15,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.43103448275862066,0.21551724137931033,0.5,0.30120481927710846,tiny-imagenet_resnet18_x16,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.46551724137931033,0.23275862068965517,0.5,0.3176470588235294,tiny-imagenet_resnet18_x17,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.4827586206896552,0.2413793103448276,0.5,0.32558139534883723,tiny-imagenet_resnet18_x18,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5172413793103449,0.25862068965517243,0.5,0.3409090909090909,tiny-imagenet_resnet18_x19,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5431034482758621,0.27155172413793105,0.5,0.35195530726256985,tiny-imagenet_resnet18_x20,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.6120689655172413,0.30603448275862066,0.5,0.37967914438502676,tiny-imagenet_resnet18_x21,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.5689655172413793,0.28448275862068967,0.5,0.3626373626373626,tiny-imagenet_resnet18_x22,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.47413793103448276,0.23706896551724138,0.5,0.3216374269005848,tiny-imagenet_resnet18_x23,2,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.43478260869565216,0.43478260869565216,0.4327485380116959,0.43047619047619046,iid_test,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,1.0,1.0,1.0,1.0,iid_train,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.9051724137931034,0.4525862068965517,0.5,0.4751131221719457,tiny-imagenet_resnet18_x0,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.10344827586206896,0.05172413793103448,0.5,0.09375,tiny-imagenet_resnet18_x1,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
XGBClassifier,0.10344827586206896,0.05172413793103448,0.5,0.09375,tiny-imagenet_resnet18_x2,3,5,5,13,tiny-imagenet_resnet18,rand,phisNone,none
