run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb
5,maleficnet_mals,1,0.0,0.5384615384615384,5
6,maleficnet_benigns,0,1.0,0.6666666666666666,5
6,maleficnet_mals,1,0.0,0.38461538461538464,5
7,maleficnet_benigns,0,1.0,0.0,5
7,maleficnet_mals,1,0.0,0.6153846153846154,5
8,maleficnet_benigns,0,0.0,0.6666666666666666,5
8,maleficnet_mals,1,1.0,0.38461538461538464,5
9,maleficnet_benigns,0,1.0,0.6666666666666666,5
9,maleficnet_mals,1,0.0,0.0,5
0,maleficnet_benigns,0,0.0,0.3333333333333333,6
0,maleficnet_mals,1,1.0,1.0,6
1,maleficnet_benigns,0,1.0,0.3333333333333333,6
1,maleficnet_mals,1,0.0,0.5384615384615384,6
2,maleficnet_benigns,0,1.0,1.0,6
2,maleficnet_mals,1,0.0,0.6153846153846154,6
3,maleficnet_benigns,0,1.0,0.0,6
3,maleficnet_mals,1,0.46153846153846156,0.6923076923076923,6
4,maleficnet_benigns,0,1.0,0.3333333333333333,6
4,maleficnet_mals,1,0.0,0.6153846153846154,6
5,maleficnet_benigns,0,1.0,1.0,6
5,maleficnet_mals,1,0.0,0.0,6
6,maleficnet_benigns,0,1.0,1.0,6
6,maleficnet_mals,1,0.0,0.0,6
7,maleficnet_benigns,0,1.0,1.0,6
7,maleficnet_mals,1,0.0,0.38461538461538464,6
8,maleficnet_benigns,0,1.0,1.0,6
8,maleficnet_mals,1,0.15384615384615385,0.07692307692307693,6
9,maleficnet_benigns,0,1.0,0.3333333333333333,6
9,maleficnet_mals,1,0.0,0.46153846153846156,6
0,maleficnet_benigns,0,1.0,1.0,7
0,maleficnet_mals,1,0.0,0.0,7
1,maleficnet_benigns,0,1.0,1.0,7
1,maleficnet_mals,1,0.0,0.0,7
2,maleficnet_benigns,0,1.0,1.0,7
2,maleficnet_mals,1,0.0,0.38461538461538464,7
3,maleficnet_benigns,0,1.0,1.0,7
3,maleficnet_mals,1,0.0,0.23076923076923078,7
4,maleficnet_benigns,0,1.0,0.3333333333333333,7
4,maleficnet_mals,1,0.0,0.6153846153846154,7
5,maleficnet_benigns,0,1.0,0.6666666666666666,7
5,maleficnet_mals,1,0.0,0.9230769230769231,7
6,maleficnet_benigns,0,1.0,1.0,7
6,maleficnet_mals,1,0.0,0.15384615384615385,7
7,maleficnet_benigns,0,1.0,0.3333333333333333,7
7,maleficnet_mals,1,0.0,0.6923076923076923,7
8,maleficnet_benigns,0,1.0,1.0,7
8,maleficnet_mals,1,0.0,0.07692307692307693,7
9,maleficnet_benigns,0,1.0,0.6666666666666666,7
9,maleficnet_mals,1,0.0,0.15384615384615385,7
