run num,mc,lsb,test_acc_centroid,test_acc_nn,model_lsb,model_arch
9,torch_pretrained_classification,0,0.6625,0.5125,2,osl_siamese_cnn
5,torch_pretrained_classification,0,0.675,0.5125,3,osl_siamese_cnn
6,torch_pretrained_classification,0,0.6,0.55,3,osl_siamese_cnn
7,torch_pretrained_classification,0,0.15,0.825,3,osl_siamese_cnn
8,torch_pretrained_classification,0,0.7125,0.4125,3,osl_siamese_cnn
9,torch_pretrained_classification,0,0.7625,0.425,3,osl_siamese_cnn
5,torch_pretrained_classification,0,0.7,0.5375,4,osl_siamese_cnn
6,torch_pretrained_classification,0,0.8875,0.75,4,osl_siamese_cnn
7,torch_pretrained_classification,0,0.8375,0.875,4,osl_siamese_cnn
8,torch_pretrained_classification,0,0.45,0.45,4,osl_siamese_cnn
9,torch_pretrained_classification,0,0.8625,0.8625,4,osl_siamese_cnn
5,torch_pretrained_classification,0,0.925,0.925,5,osl_siamese_cnn
6,torch_pretrained_classification,0,0.9,0.9125,5,osl_siamese_cnn
7,torch_pretrained_classification,0,0.9,0.9,5,osl_siamese_cnn
8,torch_pretrained_classification,0,0.9125,0.925,5,osl_siamese_cnn
9,torch_pretrained_classification,0,0.925,0.925,5,osl_siamese_cnn
5,torch_pretrained_classification,0,0.925,0.925,6,osl_siamese_cnn
6,torch_pretrained_classification,0,0.95,0.95,6,osl_siamese_cnn
7,torch_pretrained_classification,0,0.95,0.95,6,osl_siamese_cnn
8,torch_pretrained_classification,0,0.95,0.9375,6,osl_siamese_cnn
9,torch_pretrained_classification,0,0.95,0.95,6,osl_siamese_cnn
5,torch_pretrained_classification,0,0.975,0.975,7,osl_siamese_cnn
6,torch_pretrained_classification,0,0.7875,0.7875,7,osl_siamese_cnn
7,torch_pretrained_classification,0,0.975,0.975,7,osl_siamese_cnn
8,torch_pretrained_classification,0,0.975,0.975,7,osl_siamese_cnn
9,torch_pretrained_classification,0,0.975,0.975,7,osl_siamese_cnn
5,torch_pretrained_classification,0,0.8625,0.7875,8,osl_siamese_cnn
6,torch_pretrained_classification,0,1.0,0.975,8,osl_siamese_cnn
7,torch_pretrained_classification,0,0.975,0.975,8,osl_siamese_cnn
8,torch_pretrained_classification,0,0.975,0.975,8,osl_siamese_cnn
9,torch_pretrained_classification,0,1.0,1.0,8,osl_siamese_cnn
5,torch_pretrained_classification,0,0.975,0.975,9,osl_siamese_cnn
6,torch_pretrained_classification,0,1.0,1.0,9,osl_siamese_cnn
7,torch_pretrained_classification,0,0.975,0.975,9,osl_siamese_cnn
8,torch_pretrained_classification,0,1.0,1.0,9,osl_siamese_cnn
9,torch_pretrained_classification,0,0.975,0.975,9,osl_siamese_cnn
5,torch_pretrained_classification,0,0.975,0.975,10,osl_siamese_cnn
6,torch_pretrained_classification,0,1.0,1.0,10,osl_siamese_cnn
7,torch_pretrained_classification,0,0.975,0.975,10,osl_siamese_cnn
8,torch_pretrained_classification,0,0.9625,0.9,10,osl_siamese_cnn
9,torch_pretrained_classification,0,0.975,0.9625,10,osl_siamese_cnn
5,torch_pretrained_classification,0,0.975,0.975,11,osl_siamese_cnn
6,torch_pretrained_classification,0,0.975,0.975,11,osl_siamese_cnn
7,torch_pretrained_classification,0,0.9875,0.9875,11,osl_siamese_cnn
8,torch_pretrained_classification,0,0.975,0.975,11,osl_siamese_cnn
9,torch_pretrained_classification,0,0.975,0.975,11,osl_siamese_cnn
5,torch_pretrained_classification,0,0.95,0.9625,12,osl_siamese_cnn
6,torch_pretrained_classification,0,0.975,0.975,12,osl_siamese_cnn
7,torch_pretrained_classification,0,0.975,0.975,12,osl_siamese_cnn
8,torch_pretrained_classification,0,0.975,0.975,12,osl_siamese_cnn
9,torch_pretrained_classification,0,1.0,1.0,12,osl_siamese_cnn
5,torch_pretrained_classification,0,0.975,0.975,13,osl_siamese_cnn
6,torch_pretrained_classification,0,0.975,0.975,13,osl_siamese_cnn
7,torch_pretrained_classification,0,0.975,0.975,13,osl_siamese_cnn
8,torch_pretrained_classification,0,0.9375,0.8875,13,osl_siamese_cnn
9,torch_pretrained_classification,0,0.975,0.975,13,osl_siamese_cnn
5,torch_pretrained_classification,0,0.975,0.975,14,osl_siamese_cnn
6,torch_pretrained_classification,0,0.975,0.975,14,osl_siamese_cnn
7,torch_pretrained_classification,0,0.975,0.975,14,osl_siamese_cnn
8,torch_pretrained_classification,0,0.975,0.975,14,osl_siamese_cnn
9,torch_pretrained_classification,0,0.9875,0.9875,14,osl_siamese_cnn
5,torch_pretrained_classification,0,0.975,0.975,15,osl_siamese_cnn
6,torch_pretrained_classification,0,1.0,1.0,15,osl_siamese_cnn
7,torch_pretrained_classification,0,0.975,0.975,15,osl_siamese_cnn
8,torch_pretrained_classification,0,0.975,0.975,15,osl_siamese_cnn
9,torch_pretrained_classification,0,0.975,0.9625,15,osl_siamese_cnn
5,torch_pretrained_classification,0,0.9875,0.9875,16,osl_siamese_cnn
6,torch_pretrained_classification,0,0.975,0.975,16,osl_siamese_cnn
7,torch_pretrained_classification,0,0.975,0.975,16,osl_siamese_cnn
8,torch_pretrained_classification,0,0.975,0.975,16,osl_siamese_cnn
9,torch_pretrained_classification,0,0.975,0.975,16,osl_siamese_cnn
5,torch_pretrained_classification,0,0.975,0.975,17,osl_siamese_cnn
6,torch_pretrained_classification,0,0.975,0.975,17,osl_siamese_cnn
7,torch_pretrained_classification,0,1.0,1.0,17,osl_siamese_cnn
8,torch_pretrained_classification,0,0.975,0.975,17,osl_siamese_cnn
9,torch_pretrained_classification,0,0.975,0.975,17,osl_siamese_cnn
5,torch_pretrained_classification,0,0.975,0.975,18,osl_siamese_cnn
6,torch_pretrained_classification,0,0.975,0.975,18,osl_siamese_cnn
7,torch_pretrained_classification,0,0.975,0.975,18,osl_siamese_cnn
8,torch_pretrained_classification,0,0.975,0.975,18,osl_siamese_cnn
9,torch_pretrained_classification,0,0.975,0.975,18,osl_siamese_cnn
5,torch_pretrained_classification,0,0.975,0.95,19,osl_siamese_cnn
6,torch_pretrained_classification,0,0.975,0.975,19,osl_siamese_cnn
7,torch_pretrained_classification,0,1.0,1.0,19,osl_siamese_cnn
8,torch_pretrained_classification,0,1.0,1.0,19,osl_siamese_cnn
9,torch_pretrained_classification,0,0.975,0.975,19,osl_siamese_cnn
5,torch_pretrained_classification,0,0.975,0.975,20,osl_siamese_cnn
