image_rep,time,peak_memory,n_models,n_weights,run_i
phis,0.9285056591033936,772.50390625,1000,10,2
s,0.00017023086547851562,772.50390625,1000,100,2
rgb,0.0005345344543457031,772.50390625,1000,100,2
bb,0.006409406661987305,776.72265625,1000,100,2
phis,1.0615270137786865,778.12890625,1000,100,2
s,0.0005624294281005859,783.44140625,1000,1000,2
rgb,0.0042209625244140625,786.41015625,1000,1000,2
bb,0.04737043380737305,826.8125,1000,1000,2
phis,2.5028903484344482,837.75,1000,1000,2
s,0.008767843246459961,912.29296875,1000,10000,2
rgb,0.053739070892333984,911.9453125,1000,10000,2
bb,0.47584986686706543,1254.8671875,1000,10000,2
phis,17.281963109970093,1471.23046875,1000,10000,2
s,0.0003616809844970703,772.7578125,10000,10,2
rgb,0.0008454322814941406,773.0703125,10000,10,2
bb,0.011614084243774414,781.66796875,10000,10,2
phis,9.059075355529785,789.015625,10000,10,2
s,0.0005576610565185547,789.015625,10000,100,2
rgb,0.0038607120513916016,789.015625,10000,100,2
bb,0.07369327545166016,825.73828125,10000,100,2
phis,10.536876678466797,844.55078125,10000,100,2
s,0.009255409240722656,920.79296875,10000,1000,2
rgb,0.05343341827392578,917.921875,10000,1000,2
bb,0.4710419178009033,1258.89453125,10000,1000,2
phis,26.242724180221558,1486.5078125,10000,1000,2
s,0.08493161201477051,1892.00390625,10000,10000,2
rgb,0.48592400550842285,1801.69921875,10000,10000,2
bb,4.7905590534210205,5545.8671875,10000,10000,2
phis,172.12607216835022,7231.93359375,10000,10000,2
s,0.00017404556274414062,785.453125,10,10,3
rgb,0.00018715858459472656,785.453125,10,10,3
bb,0.00016236305236816406,785.453125,10,10,3
phis,0.011713266372680664,785.453125,10,10,3
s,0.00013136863708496094,785.453125,10,100,3
rgb,8.463859558105469e-05,785.453125,10,100,3
bb,0.00020623207092285156,785.453125,10,100,3
phis,0.02221846580505371,785.453125,10,100,3
s,0.000179290771484375,785.453125,10,1000,3
rgb,0.0001499652862548828,785.453125,10,1000,3
bb,0.0006957054138183594,785.453125,10,1000,3
phis,0.03442835807800293,785.453125,10,1000,3
s,0.00014734268188476562,785.453125,10,10000,3
rgb,0.0008432865142822266,785.453125,10,10000,3
bb,0.0074672698974609375,785.453125,10,10000,3
phis,0.16085338592529297,785.453125,10,10000,3
s,0.0005042552947998047,785.453125,100,10,3
rgb,0.00011372566223144531,785.453125,100,10,3
bb,0.00030875205993652344,785.453125,100,10,3
phis,0.09467887878417969,785.453125,100,10,3
s,0.00025463104248046875,785.453125,100,100,3
rgb,0.00013709068298339844,785.453125,100,100,3
bb,0.0008139610290527344,785.453125,100,100,3
phis,0.15210509300231934,785.453125,100,100,3
s,0.0001919269561767578,785.453125,100,1000,3
rgb,0.0005173683166503906,785.453125,100,1000,3
bb,0.007508754730224609,785.453125,100,1000,3
phis,0.23854541778564453,785.453125,100,1000,3
s,0.0004994869232177734,785.453125,100,10000,3
rgb,0.0055463314056396484,786.546875,100,10000,3
bb,0.04731297492980957,825.95703125,100,10000,3
phis,1.6741290092468262,837.01953125,100,10000,3
s,0.00017762184143066406,771.296875,1000,10,3
rgb,0.0001499652862548828,771.296875,1000,10,3
bb,0.0013360977172851562,772.078125,1000,10,3
phis,0.921856164932251,772.859375,1000,10,3
s,0.00017213821411132812,772.859375,1000,100,3
rgb,0.0005152225494384766,772.859375,1000,100,3
bb,0.008874654769897461,777.234375,1000,100,3
phis,1.0493943691253662,778.640625,1000,100,3
