zoo,feature_type,lsb,clf,accuracy,recall,precision,f1,conf_mat
mnist,losses,5,GradientBoosting,0.453,0.574,0.4621578099838969,0.512042818911686,"[[332 668]
 [426 574]]"
mnist,losses,5,RandomForest,0.3025,0.294,0.2990844354018311,0.2965204236006051,"[[311 689]
 [706 294]]"
mnist,losses,6,HistGradientBoosting,0.3965,0.438,0.4044321329639889,0.4205472875660105,"[[355 645]
 [562 438]]"
mnist,losses,6,GradientBoosting,0.4455,0.405,0.4406964091403699,0.4220948410630536,"[[486 514]
 [595 405]]"
mnist,losses,6,RandomForest,0.289,0.278,0.2842535787321063,0.2810920121334681,"[[300 700]
 [722 278]]"
mnist,losses,7,HistGradientBoosting,0.3975,0.412,0.4003887269193392,0.4061113849186791,"[[383 617]
 [588 412]]"
mnist,losses,7,GradientBoosting,0.444,0.551,0.4538714991762768,0.4977416440831075,"[[337 663]
 [449 551]]"
mnist,losses,7,RandomForest,0.317,0.325,0.3198818897637795,0.3224206349206349,"[[309 691]
 [675 325]]"
mnist,losses,8,HistGradientBoosting,0.3965,0.405,0.3982300884955752,0.4015865146256817,"[[388 612]
 [595 405]]"
mnist,losses,8,GradientBoosting,0.4315,0.424,0.4304568527918782,0.4272040302267003,"[[439 561]
 [576 424]]"
mnist,losses,8,RandomForest,0.305,0.302,0.3038229376257545,0.3029087261785356,"[[308 692]
 [698 302]]"
mnist,losses,9,HistGradientBoosting,0.393,0.409,0.3963178294573643,0.4025590551181102,"[[377 623]
 [591 409]]"
mnist,losses,9,GradientBoosting,0.436,0.43,0.4352226720647773,0.4325955734406438,"[[442 558]
 [570 430]]"
mnist,losses,9,RandomForest,0.3105,0.309,0.3099297893681043,0.3094641962944417,"[[312 688]
 [691 309]]"
mnist,losses,10,HistGradientBoosting,0.394,0.405,0.3962818003913894,0.400593471810089,"[[383 617]
 [595 405]]"
mnist,losses,10,GradientBoosting,0.4385,0.574,0.4516129032258064,0.5055041831792162,"[[303 697]
 [426 574]]"
mnist,losses,10,RandomForest,0.2985,0.304,0.3006923837784372,0.3023371456986573,"[[293 707]
 [696 304]]"
mnist,losses,11,HistGradientBoosting,0.399,0.436,0.4059590316573557,0.420443587270974,"[[362 638]
 [564 436]]"
mnist,losses,11,GradientBoosting,0.4395,0.55,0.4504504504504504,0.4952723998199009,"[[329 671]
 [450 550]]"
mnist,losses,11,RandomForest,0.317,0.319,0.3177290836653386,0.3183632734530938,"[[315 685]
 [681 319]]"
mnist,losses,12,HistGradientBoosting,0.4105,0.426,0.4131910766246363,0.4194977843426883,"[[395 605]
 [574 426]]"
mnist,losses,12,GradientBoosting,0.4485,0.438,0.4473953013278856,0.4426478019201617,"[[459 541]
 [562 438]]"
mnist,losses,12,RandomForest,0.4535,0.459,0.4540059347181009,0.4564893088015912,"[[448 552]
 [541 459]]"
mnist,losses,13,HistGradientBoosting,0.4005,0.405,0.4013875123885034,0.4031856645097063,"[[396 604]
 [595 405]]"
mnist,losses,13,GradientBoosting,0.45,0.406,0.4451754385964912,0.4246861924686193,"[[494 506]
 [594 406]]"
