repeat,baseline,X,accuracy
4,byte_entropy,2,0.576
4,byte_entropy,3,0.985
4,byte_entropy,4,1.0
4,byte_entropy,5,1.0
4,byte_entropy,6,1.0
4,byte_entropy,7,1.0
4,byte_entropy,8,1.0
4,byte_entropy,9,1.0
4,byte_entropy,10,1.0
4,byte_entropy,11,1.0
4,byte_entropy,12,1.0
4,byte_entropy,13,1.0
4,byte_entropy,14,1.0
4,byte_entropy,15,1.0
4,byte_entropy,16,1.0
4,byte_entropy,17,1.0
4,byte_entropy,18,1.0
4,byte_entropy,19,1.0
4,byte_entropy,20,1.0
4,byte_entropy,21,1.0
4,byte_entropy,22,1.0
4,byte_entropy,23,1.0
4,histogram_kl,1,0.5255
4,histogram_kl,2,0.806
4,histogram_kl,3,1.0
4,histogram_kl,4,1.0
4,histogram_kl,5,1.0
4,histogram_kl,6,1.0
4,histogram_kl,7,1.0
4,histogram_kl,8,1.0
4,histogram_kl,9,1.0
4,histogram_kl,10,1.0
4,histogram_kl,11,1.0
4,histogram_kl,12,1.0
4,histogram_kl,13,1.0
4,histogram_kl,14,1.0
4,histogram_kl,15,1.0
4,histogram_kl,16,1.0
4,histogram_kl,17,1.0
4,histogram_kl,18,1.0
4,histogram_kl,19,1.0
4,histogram_kl,20,1.0
4,histogram_kl,21,1.0
4,histogram_kl,22,1.0
4,histogram_kl,23,1.0
4,weight_value_dist,1,0.5
4,weight_value_dist,2,0.5
4,weight_value_dist,3,0.5
4,weight_value_dist,4,0.5
4,weight_value_dist,5,0.5
4,weight_value_dist,6,0.5
4,weight_value_dist,7,0.5
4,weight_value_dist,8,0.5
4,weight_value_dist,9,0.4985
4,weight_value_dist,10,0.4995
4,weight_value_dist,11,0.4995
4,weight_value_dist,12,0.4985
4,weight_value_dist,13,0.497
4,weight_value_dist,14,0.5005
4,weight_value_dist,15,0.504
4,weight_value_dist,16,0.4985
4,weight_value_dist,17,0.4995
4,weight_value_dist,18,0.4995
4,weight_value_dist,19,0.502
4,weight_value_dist,20,0.556
4,weight_value_dist,21,0.728
4,weight_value_dist,22,0.986
4,weight_value_dist,23,1.0
4,byte_autocorr,1,0.5015000000000001
4,byte_autocorr,2,0.5015
4,byte_autocorr,3,0.501
4,byte_autocorr,4,0.4984999999999999
4,byte_autocorr,5,0.504
4,byte_autocorr,6,0.5185
4,byte_autocorr,7,0.638
4,byte_autocorr,8,1.0
4,byte_autocorr,9,0.9995
4,byte_autocorr,10,0.9795
4,byte_autocorr,11,0.95
4,byte_autocorr,12,0.9935
4,byte_autocorr,13,0.994
4,byte_autocorr,14,0.8465
4,byte_autocorr,15,1.0
4,byte_autocorr,16,1.0
4,byte_autocorr,17,0.704
4,byte_autocorr,18,1.0
4,byte_autocorr,19,0.9995
4,byte_autocorr,20,1.0
4,byte_autocorr,21,0.7595000000000001
4,byte_autocorr,22,0.87
4,byte_autocorr,23,0.7975
5,byte_entropy,1,0.4985
5,byte_entropy,2,0.579
5,byte_entropy,3,0.984
5,byte_entropy,4,1.0
5,byte_entropy,5,1.0
5,byte_entropy,6,1.0
5,byte_entropy,7,1.0
5,byte_entropy,8,1.0
5,byte_entropy,9,1.0
5,byte_entropy,10,1.0
5,byte_entropy,11,1.0
5,byte_entropy,12,1.0
5,byte_entropy,13,1.0
5,byte_entropy,14,1.0
5,byte_entropy,15,1.0
5,byte_entropy,16,1.0
5,byte_entropy,17,1.0
5,byte_entropy,18,1.0
5,byte_entropy,19,1.0
5,byte_entropy,20,1.0
5,byte_entropy,21,1.0
5,byte_entropy,22,1.0
5,byte_entropy,23,1.0
5,histogram_kl,1,0.512
5,histogram_kl,2,0.8140000000000001
5,histogram_kl,3,1.0
5,histogram_kl,4,1.0
5,histogram_kl,5,1.0
5,histogram_kl,6,1.0
5,histogram_kl,7,1.0
5,histogram_kl,8,1.0
5,histogram_kl,9,1.0
5,histogram_kl,10,1.0
5,histogram_kl,11,1.0
5,histogram_kl,12,1.0
5,histogram_kl,13,1.0
5,histogram_kl,14,1.0
5,histogram_kl,15,1.0
5,histogram_kl,16,1.0
5,histogram_kl,17,1.0
5,histogram_kl,18,1.0
5,histogram_kl,19,1.0
5,histogram_kl,20,1.0
5,histogram_kl,21,1.0
5,histogram_kl,22,1.0
5,histogram_kl,23,1.0
5,weight_value_dist,1,0.5
5,weight_value_dist,2,0.5
5,weight_value_dist,3,0.5
5,weight_value_dist,4,0.5
5,weight_value_dist,5,0.5005
5,weight_value_dist,6,0.5
5,weight_value_dist,7,0.4994999999999999
5,weight_value_dist,8,0.5
5,weight_value_dist,9,0.501
5,weight_value_dist,10,0.5015000000000001
5,weight_value_dist,11,0.4994999999999999
5,weight_value_dist,12,0.5005
5,weight_value_dist,13,0.501
5,weight_value_dist,14,0.495
5,weight_value_dist,15,0.503
5,weight_value_dist,16,0.4995
5,weight_value_dist,17,0.498
5,weight_value_dist,18,0.505
5,weight_value_dist,19,0.51
5,weight_value_dist,20,0.571
5,weight_value_dist,21,0.7290000000000001
5,weight_value_dist,22,0.9875
5,weight_value_dist,23,1.0
5,byte_autocorr,1,0.4995
5,byte_autocorr,2,0.5005000000000001
5,byte_autocorr,3,0.5025
5,byte_autocorr,4,0.4965
5,byte_autocorr,5,0.5095000000000001
5,byte_autocorr,6,0.5245
5,byte_autocorr,7,0.652
5,byte_autocorr,8,1.0
5,byte_autocorr,9,1.0
5,byte_autocorr,10,0.9845
5,byte_autocorr,11,0.951
5,byte_autocorr,12,0.9915
5,byte_autocorr,13,0.9925
5,byte_autocorr,14,0.8514999999999999
5,byte_autocorr,15,1.0
5,byte_autocorr,16,1.0
5,byte_autocorr,17,0.722
5,byte_autocorr,18,1.0
5,byte_autocorr,19,1.0
